1 175521 176649 177739 178569 178570
250 166182 169595 171539 173690 175522
500 166377 169411 170531 174148 175615
750 168152 169158 175188 175644 175763
1000 167503 172399 173102 176961 177997
1250 171842 172226 176580 177655 178351
1500 169174 170282 172634 176221 176462
1750 168539 171482 171904 174725 178085
2000 169875 169985 170678 176112 176606
2250 168586 171583 174589 175083 178200
2500 167746 167746 169539 171120 178387
2750 167313 171182 172340 173976 177590
3000 175049 175049 175798 177855 178357
3250 168767 169634 173059 174802 176555
3500 176493 176893 177821 177931 178422
3750 177321 178256 178294 178386 178411
4000 173154 176318 176355 178370 178499
4250 168966 178151 178229 178233 178284
4500 174726 177095 177796 177983 178003
4750 171071 173176 174377 176422 176922
5000 170721 173279 175013 176007 176179
5250 166327 173209 174420 174611 174983
5500 167100 172667 174101 174339 174378
5750 171481 171928 172024 173102 173313
6000 170900 171168 171262 171569 172018
6250 163540 167895 169632 170521 170531
6500 167853 167859 168012 168056 169158
6750 164794 165406 165892 167474 167738
7000 160698 165131 165384 165564 165656
7250 160775 162126 163319 163447 163521
7500 154321 156529 156940 157045 161394
7750 150965 155448 155625 158498 158694
8000 144722 150828 152461 152906 153438
8250 145572 145572 145910 146854 147065
8500 136725 140695 141613 141715 142932
8750 131951 134357 136121 137611 137972
9000 127295 132802 133026 133412 133506
9250 126068 127810 129636 129739 129848
9500 121904 123392 123676 124544 125762
9750 119488 121182 122331 122499 122565
10000 112054 116759 117947 118650 118911
25000 50188.7 50484.5 51539.3 51809.6 52300.1
75000 29993 30282.2 31559.2 31779.3 32655.9
125000 31659.6 31828.2 31981.4 31994 32266.4
175000 30063.2 30315.4 31002.1 31101.9 31531.7
225000 29284.9 29728.5 30066.1 30295.4 30639.3
275000 28227.9 29560.1 29730.9 30172.3 30430.6
325000 27965 28472.8 29684 29863.2 30274.6
375000 29155.5 29344 29540.6 29771.8 29939.4
425000 28127.5 28756.3 29462.4 29646.1 30201.1
475000 29250.8 29538.9 29595.5 29990.9 30164
