0 1389697269.478612 1389697269.086596 0.392016
0.069658 1389697269.548270 1389697269.136763 0.411507
0.133379 1389697269.611991 1389697269.186885 0.425106
0.170355 1389697269.648967 1389697269.237003 0.411964
0.214469 1389697269.693081 1389697269.287136 0.405945
0.291766 1389697269.770378 1389697269.337255 0.433123
0.38518 1389697269.863792 1389697269.387373 0.476419
0.4519 1389697269.930512 1389697269.437491 0.493021
0.502199 1389697269.980811 1389697269.487781 0.49303
0.565932 1389697270.044544 1389697269.537943 0.506601
0.635677 1389697270.114289 1389697269.588100 0.526189
0.727282 1389697270.205894 1389697269.638247 0.567647
0.781697 1389697270.260309 1389697269.688395 0.571914
0.806454 1389697270.285066 1389697269.738542 0.546524
0.833811 1389697270.312423 1389697269.788694 0.523729
0.902202 1389697270.380814 1389697269.838842 0.541972
0.927809 1389697270.406421 1389697269.889004 0.517417
0.95821 1389697270.436822 1389697269.939159 0.497663
1.01362 1389697270.492236 1389697269.989308 0.502928
1.07732 1389697270.555930 1389697270.039467 0.516463
1.14406 1389697270.622675 1389697270.089627 0.533048
1.18959 1389697270.668199 1389697270.139780 0.528419
1.23736 1389697270.715974 1389697270.189931 0.526043
1.28029 1389697270.758904 1389697270.240082 0.518822
1.31014 1389697270.788756 1389697270.290235 0.498521
1.35572 1389697270.834335 1389697270.340384 0.493951
1.41263 1389697270.891240 1389697270.390533 0.500707
1.46599 1389697270.944606 1389697270.440684 0.503922
1.48167 1389697270.960280 1389697270.490999 0.469281
1.52465 1389697271.003260 1389697270.541155 0.462105
1.59139 1389697271.070003 1389697270.591308 0.478695
1.646 1389697271.124615 1389697270.641456 0.483159
1.70227 1389697271.180877 1389697270.691605 0.489272
1.7093 1389697271.187912 1389697270.741755 0.446157
1.75004 1389697271.228649 1389697270.791907 0.436742
1.89046 1389697271.369074 1389697270.842058 0.527016
1.94987 1389697271.428477 1389697270.892220 0.536257
1.99489 1389697271.473505 1389697270.942373 0.531132
2.10237 1389697271.580983 1389697270.992529 0.588454
2.13122 1389697271.609834 1389697271.042695 0.567139
2.13437 1389697271.612982 1389697271.092854 0.520128
2.13751 1389697271.616126 1389697271.143008 0.473118
