1360261802 12886 187 530 75 17 19 0
1360261814 12886 187 530 75 17 19 0
1360267750 12675 173 530 70 17 19 0
1360320206 12675 173 530 70 17 19 0
1360323420 12675 173 530 70 17 19 0
1360349330 12853 173 530 70 17 19 0
1360449829 12961 173 530 70 17 19 0
1360594802 13125 169 530 69 17 19 0
1360602302 13001 169 530 69 17 19 0
1360614192 12956 169 530 69 17 19 0
1360699195 13370 178 541 72 18 19 0
1360700109 16114 182 580 76 23 19 0
1361201682 17133 185 620 77 24 19 0
1361236483 17288 185 620 77 24 19 0
1361453958 16939 179 638 75 24 19 0
1361470753 15723 175 651 72 24 19 0
1362916371 15829 171 651 72 24 19 0
1362961340 16296 180 651 74 24 19 0
1363019548 16683 180 651 74 24 19 0
