5 00755 8.6843 0.011502 0.003452 0.010967 0.008929 0.013475 0.000000
4 00752 5.5606 0.007394 0.002633 0.006762 0.005451 0.008866 0.000000
3 00785 3.3849 0.004312 0.001649 0.003776 0.003148 0.004815 0.000000
2 00724 1.8548 0.002562 0.001082 0.002166 0.001869 0.002834 0.000000
1 00750 1.5867 0.002116 0.000941 0.001759 0.001499 0.002370 0.000000
