2011 0175 0077 0308 0008 0023 0007
2012 0330 0115 0737 0010 0047 0014
2013 0550 0155 1546 0012 0092 0024
2014 0864 0205 2918 0015 0173 0041
2015 1350 0261 4882 0023 0302 0078
2016 2165 0362 7615 0036 0508 0118
